 ,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale Put,Net Put,Bid Put,Ask Put,Volume Put,IV Put,Delta Put,Gamma Put,Open Interest Put
Wed Jul 23 2025,VIXW250723C00014500,3.59,0,3,3.48,0,0,0.9862,0.0126,161,14.5,VIXW250723P00014500,0.02,0,0,0.04,0,1.1992,-0.013,0.0126,273
Wed Jul 23 2025,VIXW250723C00015000,3.2,0,2.51,2.99,0,0,0.9751,0.0214,96,15,VIXW250723P00015000,0.02,0,0,0.05,0,1.1182,-0.0242,0.0214,528
Wed Jul 23 2025,VIXW250723C00016000,1.95,0,1.57,2.04,0,0,0.9324,0.0489,1088,16,VIXW250723P00016000,0.08,0,0.04,0.12,0,1.1128,-0.0669,0.0489,929
Wed Jul 23 2025,VIXW250723C00017000,1.3,0,0.88,1.27,0,0,0.8147,0.0832,1057,17,VIXW250723P00017000,0.33,0,0.25,0.44,0,1.3456,-0.1846,0.0832,1575
Wed Jul 23 2025,VIXW250723C00018000,0.72,0,0.49,0.78,0,0,0.7375,0.1236,1412,18,VIXW250723P00018000,0.83,0,0.76,1.06,0,1.6798,-0.3039,0.098,2051
Wed Jul 23 2025,VIXW250723C00019000,0.51,0,0.33,0.52,0,0,0.7791,0.498,1664,19,VIXW250723P00019000,1.65,0,1.51,1.88,0,2.0498,-0.414,0.0885,351
Wed Jul 30 2025,VIXW250730C00014500,4,0,4.1,4.57,0,0,0.9793,0.0162,17,14.5,VIXW250730P00014500,0.02,0,0,0.04,0,0.7922,-0.019,0.0162,85
Wed Jul 30 2025,VIXW250730C00015000,4.1,0,3.61,4.08,0,0,0.9703,0.0234,50,15,VIXW250730P00015000,0.03,0,0.01,0.05,0,0.762,-0.0281,0.0234,467
Wed Jul 30 2025,VIXW250730C00016000,2.92,0,2.68,3.14,0,0,0.9264,0.0503,234,16,VIXW250730P00016000,0.11,0,0.06,0.12,0,0.7563,-0.0719,0.0503,537
Wed Jul 30 2025,VIXW250730C00017000,2.19,0,1.9,2.32,0,0,0.8276,0.0848,467,17,VIXW250730P00017000,0.27,0,0.23,0.35,0,0.83,-0.1708,0.0848,485
Wed Jul 30 2025,VIXW250730C00018000,1.6,0,1.32,1.67,0,0.3253,0.7951,0.1468,629,18,VIXW250730P00018000,0.68,0,0.58,0.78,0,0.9273,-0.2921,0.1057,315
Wed Jul 30 2025,VIXW250730C00019000,1.2,0,0.95,1.24,0,0.6053,0.5947,0.1512,456,19,VIXW250730P00019000,1.16,0,1.14,1.41,0,1.0541,-0.4123,0.1127,196
