Date,Price,Open,High,Low,Vol.,Change %
7/21/2025,"6,305.60","6,304.74","6,336.08","6,303.79",,0.14%
7/18/2025,"6,296.79","6,312.95","6,315.61","6,285.27",,-0.01%
7/17/2025,"6,297.36","6,263.40","6,304.69","6,262.27",,0.54%
7/16/2025,"6,263.70","6,254.50","6,268.12","6,201.59",,0.32%
7/15/2025,"6,243.76","6,295.29","6,302.04","6,241.68",,-0.40%
7/14/2025,"6,268.56","6,255.15","6,273.31","6,239.22",,0.14%
7/11/2025,"6,259.75","6,255.68","6,269.44","6,237.60",,-0.33%
7/10/2025,"6,280.46","6,266.80","6,290.22","6,251.44",,0.27%
7/9/2025,"6,263.26","6,243.33","6,269.16","6,231.43",,0.61%
7/8/2025,"6,225.52","6,234.03","6,242.70","6,217.75",,-0.07%
7/7/2025,"6,229.98","6,259.04","6,262.07","6,201.00",,-0.79%
7/3/2025,"6,279.35","6,246.46","6,284.65","6,246.46",,0.83%
7/2/2025,"6,227.42","6,193.88","6,227.60","6,188.29",,0.47%
7/1/2025,"6,198.01","6,187.25","6,210.78","6,177.97",,-0.11%
6/30/2025,"6,204.95","6,193.36","6,215.08","6,174.97",,0.52%
6/27/2025,"6,173.07","6,150.70","6,187.68","6,132.35",,0.52%
6/26/2025,"6,141.02","6,112.09","6,146.52","6,107.27",,0.80%
6/25/2025,"6,092.16","6,104.23","6,108.51","6,080.09",,0.00%
6/24/2025,"6,092.18","6,061.21","6,101.76","6,059.25",,1.11%
6/23/2025,"6,025.17","5,969.67","6,028.77","5,943.23",,0.96%
